DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,140251,OUR LADY OF THE RESURRECTION MED CTR,5645 W ADDISON,CHICAGO,IL,60634,IL - Chicago,39,$39746.74,$9296.58,$8815.33
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,IL - Chicago,44,$50600.04,$13072.02,$12433.20
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,IL - Chicago,11,$41943.18,$10743.00,$9945.45
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago,15,$34585.20,$10303.80,$9702.20
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago,21,$68697.23,$15849.04,$13779.66
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,IL - Chicago,21,$60840.76,$9657.19,$9070.33
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140117,RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,IL - Chicago,45,$34892.73,$9227.00,$7422.37
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,15,$30717.80,$12785.60,$12408.26
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,IL - Chicago,21,$30487.85,$9112.85,$8335.80
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140158,MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,60616,IL - Chicago,28,$20891.03,$11554.89,$11140.50
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140180,ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,2233 W DIVISION ST,CHICAGO,IL,60622,IL - Chicago,11,$49390.00,$11371.81,$10937.36
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140224,SAINT JOSEPH HOSPITAL,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,IL - Chicago,11,$44909.45,$10180.90,$10080.90
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,IL - Chicago,35,$59070.65,$13177.94,$12083.28
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,IL - Chicago,17,$27814.35,$12023.58,$11500.76
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,IL - Chicago,90,$31660.34,$9098.88,$8034.06
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,IL - Chicago,27,$37722.74,$9979.33,$9369.22
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago,47,$32372.25,$9859.80,$8784.95
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140083,LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,IL - Chicago,25,$17524.64,$9878.88,$9189.64
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago,33,$53581.78,$12970.69,$11875.84
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,IL - Chicago,21,$37135.33,$10100.71,$9352.14
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,IL - Chicago,32,$21241.75,$10669.46,$10041.71
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,IL - Chicago,68,$54878.19,$9641.01,$8248.95
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,60613,IL - Chicago,47,$22164.72,$9531.89,$8606.40
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140117,RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,IL - Chicago,80,$34046.32,$10732.58,$6404.58
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,32,$21818.75,$11615.53,$10981.78
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140124,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,60612,IL - Chicago,19,$11675.63,$12722.00,$12015.47
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,IL - Chicago,60,$26941.93,$8105.28,$7239.90
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,IL - Chicago,20,$41958.55,$16853.90,$15896.10
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140151,SACRED HEART HOSPITAL,3240 W FRANKLIN BLVD,CHICAGO,IL,60624,IL - Chicago,20,$17631.20,$10493.25,$9877.05
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140158,MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,60616,IL - Chicago,65,$22822.70,$11084.93,$9529.47
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140177,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,60649,IL - Chicago,31,$44100.87,$10267.06,$9695.03
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140180,ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,2233 W DIVISION ST,CHICAGO,IL,60622,IL - Chicago,87,$49406.36,$11669.57,$10870.89
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,60617,IL - Chicago,51,$27634.66,$9105.13,$8499.76
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,IL - Chicago,38,$42996.02,$11548.15,$10984.71
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140197,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,60640,IL - Chicago,22,$18329.18,$8714.54,$7998.54
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,60622,IL - Chicago,17,$30504.76,$10986.88,$10193.47
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140224,SAINT JOSEPH HOSPITAL,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,IL - Chicago,39,$34325.28,$10191.15,$9441.43
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140251,OUR LADY OF THE RESURRECTION MED CTR,5645 W ADDISON,CHICAGO,IL,60634,IL - Chicago,107,$32383.94,$7830.28,$6770.90
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,IL - Chicago,56,$37816.42,$10337.21,$8844.98
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,IL - Chicago,29,$24914.65,$10023.03,$9322.62
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,IL - Chicago,83,$24495.87,$7259.77,$6121.22
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,IL - Chicago,34,$34367.97,$8155.64,$7408.41
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago,57,$21234.91,$8148.42,$7458.94
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140083,LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,IL - Chicago,31,$11940.96,$8224.90,$7682.32
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago,40,$36881.60,$9584.80,$8534.05
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,IL - Chicago,20,$24028.95,$8227.65,$7385.05
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,IL - Chicago,26,$23448.69,$9106.46,$8286.61
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,IL - Chicago,91,$36038.28,$7525.36,$6635.03
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,60613,IL - Chicago,30,$17688.70,$7839.56,$7126.90
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140117,RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,IL - Chicago,62,$28762.38,$6885.61,$5379.80
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,69,$18762.59,$9133.08,$8336.60
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140124,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,60612,IL - Chicago,23,$12126.52,$10288.86,$9656.00
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,IL - Chicago,65,$24324.64,$6836.89,$5977.61
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,IL - Chicago,20,$28253.90,$12292.10,$11408.25
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140151,SACRED HEART HOSPITAL,3240 W FRANKLIN BLVD,CHICAGO,IL,60624,IL - Chicago,23,$19904.82,$8712.26,$7941.26
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140158,MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,60616,IL - Chicago,107,$15451.89,$8594.65,$7720.55
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140177,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,60649,IL - Chicago,26,$34738.11,$9172.53,$7526.61
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140180,ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,2233 W DIVISION ST,CHICAGO,IL,60622,IL - Chicago,77,$36549.76,$8613.09,$7853.19
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,60617,IL - Chicago,29,$25199.41,$7472.96,$6869.03
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,IL - Chicago,65,$32257.49,$9408.46,$8101.20
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140197,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,60640,IL - Chicago,21,$15906.38,$7423.23,$6670.09
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,60622,IL - Chicago,18,$25871.22,$8869.22,$8306.77
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140224,SAINT JOSEPH HOSPITAL,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,IL - Chicago,48,$27900.54,$8113.93,$7366.60
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140251,OUR LADY OF THE RESURRECTION MED CTR,5645 W ADDISON,CHICAGO,IL,60634,IL - Chicago,94,$28249.34,$7233.92,$5239.53
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,IL - Chicago,89,$25675.52,$8319.87,$7085.67
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,IL - Chicago,25,$18339.76,$7467.52,$6191.92
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,IL - Chicago,70,$18068.94,$5535.95,$4295.60
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,IL - Chicago,19,$24124.47,$6039.47,$5392.52
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago,16,$19100.37,$7027.81,$4575.81
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140083,LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,IL - Chicago,15,$12484.60,$6151.20,$5553.86
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago,11,$23219.27,$9116.90,$5985.72
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,IL - Chicago,31,$21520.41,$6111.48,$5164.12
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,IL - Chicago,65,$15161.10,$6623.83,$5767.41
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,IL - Chicago,54,$28332.62,$5953.20,$4671.14
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140115,THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,60613,IL - Chicago,29,$10400.37,$5856.34,$5042.13
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140117,RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,IL - Chicago,44,$23668.56,$5533.86,$3707.93
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,37,$14992.40,$6827.48,$5915.70
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140124,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,60612,IL - Chicago,64,$9298.10,$7826.34,$6959.73
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,IL - Chicago,92,$20028.05,$5103.44,$4296.57
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,IL - Chicago,30,$19471.66,$9628.03,$8098.53
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140151,SACRED HEART HOSPITAL,3240 W FRANKLIN BLVD,CHICAGO,IL,60624,IL - Chicago,78,$15155.48,$6454.03,$5705.93
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140158,MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,60616,IL - Chicago,61,$12887.83,$6981.90,$5401.72
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140177,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,60649,IL - Chicago,26,$27298.57,$6397.11,$5791.26
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140180,ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,2233 W DIVISION ST,CHICAGO,IL,60622,IL - Chicago,55,$27910.34,$6381.74,$5546.61
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,60617,IL - Chicago,54,$18029.38,$5563.62,$4831.20
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,IL - Chicago,38,$24114.36,$7368.84,$5428.13
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140197,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,60640,IL - Chicago,14,$12057.21,$5466.57,$4579.42
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,60622,IL - Chicago,52,$19531.44,$6650.05,$6130.67
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140224,SAINT JOSEPH HOSPITAL,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,IL - Chicago,22,$19652.59,$5859.00,$4940.09
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140251,OUR LADY OF THE RESURRECTION MED CTR,5645 W ADDISON,CHICAGO,IL,60634,IL - Chicago,50,$21637.22,$5045.34,$3614.80
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,IL - Chicago,75,$17647.86,$5781.80,$5016.73
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140300,PROVIDENT HOSPITAL OF CHICAGO,500 E 51ST ST,CHICAGO,IL,60615,IL - Chicago,22,$5787.54,$5997.36,$5179.90
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,IL - Chicago,13,$45622.15,$15542.38,$15022.38
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,IL - Chicago,36,$38589.58,$10952.88,$9780.52
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,IL - Chicago,20,$54041.85,$12105.55,$11372.15
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago,15,$30873.20,$11253.40,$10500.86
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago,16,$72845.00,$16222.75,$15450.56
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,IL - Chicago,28,$29210.78,$13795.32,$13119.46
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,IL - Chicago,67,$56315.55,$11619.29,$10487.05
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140117,RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,IL - Chicago,62,$50149.56,$9637.91,$8830.59
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago,31,$39881.03,$15606.48,$13296.87
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,IL - Chicago,36,$27587.55,$10338.38,$9808.27
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,IL - Chicago,34,$37268.02,$19206.88,$18711.23
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140158,MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,60616,IL - Chicago,34,$29350.70,$13465.97,$12671.61
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140177,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,60649,IL - Chicago,16,$62360.31,$13102.75,$12381.56
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140180,ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS,2233 W DIVISION ST,CHICAGO,IL,60622,IL - Chicago,35,$51143.28,$13408.08,$12736.20
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,60617,IL - Chicago,19,$33105.31,$11113.15,$9709.15
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,IL - Chicago,34,$47199.58,$13084.58,$12525.14
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140197,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,60640,IL - Chicago,11,$27995.00,$11024.00,$10180.81
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140224,SAINT JOSEPH HOSPITAL,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,IL - Chicago,32,$39123.68,$12027.12,$11175.21
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140251,OUR LADY OF THE RESURRECTION MED CTR,5645 W ADDISON,CHICAGO,IL,60634,IL - Chicago,60,$42874.78,$9401.38,$8669.86
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,IL - Chicago,81,$53850.56,$14241.19,$12168.38
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,IL - Chicago,35,$25325.71,$10216.82,$9552.11
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140048,ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,IL - Chicago,45,$28420.51,$7887.62,$7013.57
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140068,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,IL - Chicago,25,$29389.20,$8384.48,$7511.76
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140082,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago,28,$25127.53,$8248.75,$7241.46
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140083,LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,IL - Chicago,12,$12705.91,$8600.41,$8223.08
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago,32,$37723.75,$10459.06,$9471.21
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,IL - Chicago,29,$31755.44,$8405.00,$7590.79
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,IL - Chicago,32,$24502.15,$8952.87,$8110.87
194 - SIMPLE PNEUMONIA & PLEURISY W CC,140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,IL - Chicago,130,$36833.43,$7845.26,$6809.97
